"entity","year","records","organization_type","method","sources"
"SnapChat","2013",4700000,"Web","hacked","[177]"
"Militarysingles.com","2012",163792,"Military","accidentally published","[141]"
"Stratfor","2011",935000,"Military","accidentally published","[191]"
"Tricare","2011",4901432,"Military","lost / stolen computer","[23]"
"U.S. Army","2011",50000,"Military","accidentally published","[23]"
"U.S. government (United States diplomatic cables leak)","2010",260000,"Military","inside job","[230]"
"National Archives and Records Administration (U.S. military veterans' records)","2009",76000000,"Military","lost / stolen media","[229]"
"National Guard of the United States","2009",131000,"Military","lost / stolen computer","[23]"
"U.S. Department of Defense","2009",72000,"Military","lost / stolen media","[23]"
"U.S. Department of Veteran Affairs","2006",26500000,"Military","lost / stolen computer","[227]"
"Militarysingles.com","2012",163792,"Military","accidentally published","[141]"
"Stratfor","2011",935000,"Military","accidentally published","[191]"
"Tricare","2011",4901432,"Military","lost / stolen computer","[23]"
"U.S. Army","2011",50000,"Military","accidentally published","[23]"
"U.S. government (United States diplomatic cables leak)","2010",260000,"Military","inside job","[230]"
"National Archives and Records Administration (U.S. military veterans' records)","2009",76000000,"Military","lost / stolen media","[229]"
"National Guard of the United States","2009",131000,"Military","lost / stolen computer","[23]"
"U.S. Department of Defense","2009",72000,"Military","lost / stolen media","[23]"
"U.S. Department of Veteran Affairs","2006",26500000,"Military","lost / stolen computer","[227]"
"Militarysingles.com","2012",163792,"Military","accidentally published","[141]"
"Stratfor","2011",935000,"Military","accidentally published","[191]"
"Tricare","2011",4901432,"Military","lost / stolen computer","[23]"
"U.S. Army","2011",50000,"Military","accidentally published","[23]"
"U.S. government (United States diplomatic cables leak)","2010",260000,"Military","inside job","[230]"
"National Archives and Records Administration (U.S. military veterans' records)","2009",76000000,"Military","lost / stolen media","[229]"
"National Guard of the United States","2009",131000,"Military","lost / stolen computer","[23]"
"U.S. Department of Defense","2009",72000,"Military","lost / stolen media","[23]"
"U.S. Department of Veteran Affairs","2006",26500000,"Military","lost / stolen computer","[227]"
"Militarysingles.com","2012",163792,"Military","accidentally published","[141]"
"Stratfor","2011",935000,"Military","accidentally published","[191]"
"Tricare","2011",4901432,"Military","lost / stolen computer","[23]"
"U.S. Army","2011",50000,"Military","accidentally published","[23]"
"U.S. government (United States diplomatic cables leak)","2010",260000,"Military","inside job","[230]"
"National Archives and Records Administration (U.S. military veterans' records)","2009",76000000,"Military","lost / stolen media","[229]"
"National Guard of the United States","2009",131000,"Military","lost / stolen computer","[23]"
"U.S. Department of Defense","2009",72000,"Military","lost / stolen media","[23]"
"Michaels","2014",3000000,"Retail","hacked","[140]"
"Neiman Marcus","2014",1100000,"Retail","hacked","[148][149]"
"Target Corporation","2014",70000000,"Retail","hacked","[197][198]"
"Apple Inc./BlueToad","2012",12367232,"Retail","accidentally published","[19]"
"Honda Canada","2011",283000,"Retail","poor security","[112]"
"Restaurant Depot","2011",200000,"Retail","hacked","[23]"
"Taobao","2016",20000000,"Retail","hacked","[196]"
"Bailey's Inc.","2015",250000,"Retail","hacked","[29]"
"VTech","2015",5000000,"Retail","hacked","[233]"
"Home Depot","2014",56000000,"Retail","hacked","[111]"
"Michaels","2014",3000000,"Retail","hacked","[140]"
"Neiman Marcus","2014",1100000,"Retail","hacked","[148][149]"
"Target Corporation","2014",70000000,"Retail","hacked","[197][198]"
"Apple Inc./BlueToad","2012",12367232,"Retail","accidentally published","[19]"
"Gap Inc.","2007",800000,"Retail","lost / stolen computer","[90]"
"Hannaford Brothers Supermarket Chain","2007",4200000,"Retail","hacked","[103]"
"TK / TJ Maxx","2007",94000000,"Retail","hacked","[206][207]"
"Hewlett Packard","2006",200000,"Retail","lost / stolen media","[109]"
"DSW Inc.","2005",1400000,"Retail","hacked","[254]"
"Taobao","2016",20000000,"Retail","hacked","[196]"
"Bailey's Inc.","2015",250000,"Retail","hacked","[29]"
"VTech","2015",5000000,"Retail","hacked","[233]"
"Home Depot","2014",56000000,"Retail","hacked","[111]"
"Michaels","2014",3000000,"Retail","hacked","[140]"
"Neiman Marcus","2014",1100000,"Retail","hacked","[148][149]"
"Target Corporation","2014",70000000,"Retail","hacked","[197][198]"
"Home Depot","2014",56000000,"Retail","hacked","[111]"
"Michaels","2014",3000000,"Retail","hacked","[140]"
"Neiman Marcus","2014",1100000,"Retail","hacked","[148][149]"
"Target Corporation","2014",70000000,"Retail","hacked","[197][198]"
"Apple Inc./BlueToad","2012",12367232,"Retail","accidentally published","[19]"
"Honda Canada","2011",283000,"Retail","poor security","[112]"
"21st Century Oncology","2016",2200000,"Healthcare","hacked","[211][212]"
"Central Coast Credit Union","2016",60000,"Financial","hacked","[43]"
"Dun & Bradstreet","2013",1000000,"Tech","hacked","[68][69]"
"Tumblr","2013",65469298,"Web","hacked","[6]"
"Anthem Inc.","2015",80000000,"Healthcare","hacked","[14]"
"Ashley Madison","2015",32000000,"Web","hacked","[22]"
"Hannaford Brothers Supermarket Chain","2007",4200000,"Retail","hacked","[103]"
"Yahoo","2013",1000000000,"Web","hacked","[243]"
"Gamigo","2012",8000000,"Web","hacked","[89]"
"Taobao","2016",20000000,"Retail","hacked","[196]"
"Bailey's Inc.","2015",250000,"Retail","hacked","[29]"
"Apple Health Medicaid","2016",91000,"Healthcare","poor security","[21]"
"Commission on Elections","2016",55000000,"Government","hacked",""
"Cox Communications","2016",40000,"Telecoms","hacked","[56]"
"Democratic National Committee","2016",19252,"Political","","[61]"
"Department of Homeland Security","2016",30000,"Government","poor security","[62][63]"
"Friend Finder Networks","2016",412214295,"Web","poor security / hacked","[86][87]"
"Inuvik hospital","2016",6700,"Healthcare","inside job","[117]"
"KM.RU","2016",1500000,"Web","hacked","[124]"
"Nival Networks","2016",1500000,"Gaming","hacked","[124]"
"University of California Berkeley","2016",80000,"Academic","hacked","[222]"
"University of Central Florida","2016",63000,"Academic","hacked","[224]"
"Verizon Communications","2016",1500000,"Telecoms","hacked","[231]"
"Weebly","2016",43430316,"Web","hacked","[237][238][239]"
"Anthem Inc.","2015",80000000,"Healthcare","hacked","[14]"
"Ashley Madison","2015",32000000,"Web","hacked","[22]"
"CareFirst BlueCross Blue Shield - Maryland","2015",1100000,"Healthcare","hacked","[42]"
"Excellus BlueCross BlueShield","2015",10000000,"Healthcare","hacked","[80]"
"Experian - T-Mobile US","2015",15000000,"Telecoms","hacked","[81][82]"
"Internal Revenue Service","2015",720000,"Financial","hacked","[115][116]"
"Medical Informatics Engineering","2015",3900000,"Healthcare","hacked","[139]"
"Office of Personnel Management","2015",21500000,"Government","hacked","[159][160]"
"Premera","2015",11000000,"Healthcare","hacked","[163]"
"Scottrade","2015",4600000,"Financial","hacked","[170]"
"Slack","2015",500000,"Tech","poor security","[176]"
"UCLA Medical Center Santa Monica","2015",4500000,"Healthcare","hacked","[223]"
"AOL","2014",2400000,"Web","hacked","[18]"
"Community Health Systems","2014",4500000,"Healthcare","hacked","[53]"
"Domino's Pizza (France)","2014",600000,"Web","hacked","[64]"
"eBay","2014",145000000,"Web","hacked","[70]"
"Gmail","2014",5000000,"Web","hacked","[94]"
"JP Morgan Chase","2014",76000000,"Financial","hacked","[121]"
"Korea Credit Bureau","2014",20000000,"Financial","inside job","[125]"
"LexisNexis","2014",1000000,"Tech","hacked","[68][69]"
"MacRumours.com","2014",860000,"Web","hacked","[135]"
"Mozilla","2014",76000,"Web","poor security","[145]"
"New York Taxis","2014",52000,"Transport","poor security","[153]"
"Uber","2014",50000,"Tech","poor security","[215]"
"Yahoo","2014",500000000,"Web","hacked","[244][245][246][247][248]"
"Adobe Systems","2013",152000000,"Tech","hacked","[7][8]"
"Advocate Medical Group","2013",4000000,"Healthcare","lost / stolen media","[9][10]"
"Apple","2013",275000,"Tech","hacked","[20]"
"Central Hudson Gas & Electric","2013",110000,"Energy","hacked","[44]"
"Citigroup","2013",150000,"Financial","poor security","[50]"
"Crescent Health Inc. Walgreens","2013",100000,"Healthcare","lost / stolen computer","[44][57]"
"Drupal","2013",1000000,"Web","hacked","[67]"
"Dun & Bradstreet","2013",1000000,"Tech","hacked","[68][69]"
"Evernote","2013",50000000,"Web","hacked","[78][79]"
"Facebook","2013",6000000,"Web","accidentally published","[84]"
"Florida Department of Juvenile Justice","2013",100000,"Government","lost / stolen computer","[44]"
"Kirkwood Community College","2013",125000,"Academic","hacked","[44][123]"
"Kroll Background America","2013",1000000,"Tech","hacked","[68][69]"
"Living Social","2013",50000000,"Web","hacked","[133][134]"
"Nintendo","2013",240000,"Gaming","hacked","[156]"
"Scribd","2013",500000,"Web","hacked","[171][172]"
"South Africa police","2013",16000,"Government","hacked","[183]"
"TerraCom & YourTel","2013",170000,"Telecoms","accidentally published","[203][204]"
"Tumblr","2013",65469298,"Web","hacked","[6]"
"Twitter","2013",250000,"Web","hacked","[214]"
"Ubuntu","2013",2000000,"Tech","hacked","[217]"
"Vodafone","2013",2000000,"Telecoms","inside job","[232]"
"Washington State court system","2013",160000,"Government","hacked","[235][236]"
"Yahoo","2013",1000000000,"Web","hacked","[243]"
"Blizzard Entertainment","2012",14000000,"Gaming","hacked","[34][35]"
"California Department of Child Support Services","2012",800000,"Government","lost / stolen media","[23][39]"
"Emory Healthcare","2012",315000,"Healthcare","poor security","[72]"
"Formspring","2012",420000,"Web","accidentally published","[88]"
"Gamigo","2012",8000000,"Web","hacked","[89]"
"Global Payments","2012",7000000,"Financial","hacked","[93]"
"Greek government","2012",9000000,"Government","hacked","[95]"
"Iranian banks (three: Saderat Eghtesad Novin and Saman)","2012",3000000,"Financial","hacked","[118]"
