Entity	Year	Records	Organization type	Method	Sources
21st Century Oncology	2016	2200000	healthcare	hacked	[211][212]
Apple Health Medicaid	2016	91000	healthcare	poor security	[21]
Central Coast Credit Union	2016	60000	financial	hacked	[43]
Commission on Elections	2016	55000000	government	hacked	
Cox Communications	2016	40000	telecoms	hacked	[56]
Democratic National Committee	2016	19252	political		[61]
Department of Homeland Security	2016	30000	government	poor security	[62][63]
EyeWire	2016	unknown	tech	lost / stolen computer	[83]
Friend Finder Networks	2016	412214295	web	poor security / hacked	[86][87]
Gyft	2016	unknown	web	hacked	[101][102]
Inuvik hospital	2016	6700	healthcare	inside job	[117]
KM.RU	2016	1500000	web	hacked	[124]
Nival Networks	2016	1500000	gaming	hacked	[124]
Ofcom	2016	unknown	telecom	inside job	[158]
Rosen Hotels	2016	unknown	hotel	hacked	[168]
Taobao	2016	20000000	retail	hacked	[196]
TaxSlayer.com	2016	unknown	web	hacked	[199]
University of California Berkeley	2016	80000	academic	hacked	[222]
University of Central Florida	2016	63000	academic	hacked	[224]
Verizon Communications	2016	1500000	telecoms	hacked	[231]
Weebly	2016	43430316	web	hacked	[237][238][239]
Anthem Inc.	2015	80000000	healthcare	hacked	[14]
Ashley Madison	2015	32000000	web	hacked	[22]
Australian Immigration Department	2015	G20 world leaders	government	accidentally published	[26]
Bailey's Inc.	2015	250000	retail	hacked	[29]
British Airways	2015	tens of thousands	retail	hacked	[38]
CareFirst BlueCross Blue Shield - Maryland	2015	1100000	healthcare	hacked	[42]
CVS	2015	millions	retail	hacked	[58]
Excellus BlueCross BlueShield	2015	10000000	healthcare	hacked	[80]
Experian - T-Mobile US	2015	15000000	telecoms	hacked	[81][82]
Harbortouch	2015	4200 stores	restaurant retail	hacked	[104]
Hilton Hotels	2015	unknown	hotel	hacked	[110]
Hyatt Hotels	2015	250 locations	hotel	hacked	[113][114]
Internal Revenue Service	2015	720000	financial	hacked	[115][116]
Landry's Inc.	2015	500 locations	restaurant	hacked	[128][129]
Medical Informatics Engineering	2015	3900000	healthcare	hacked	[139]
Natural Grocers	2015	93 stores	retail	hacked	[147]
Office of Personnel Management	2015	21500000	government	hacked	[159][160]
Premera	2015	11000000	healthcare	hacked	[163]
Scottrade	2015	4600000	financial	hacked	[170]
Slack	2015	500000	tech	poor security	[176]
Starwood Hotels
including Westin Hotels and Sheraton Hotels	2015	54 locations	hotel	hacked	[187][188]
Twitch.tv	2015	unknown	tech	hacked	[213]
UCLA Medical Center Santa Monica	2015	4500000	healthcare	hacked	[223]
VTech	2015	5000000	retail	hacked	[233]
Walmart	2015	millions	retail	hacked	[58]
